1,001,514,192
1,002,267,265
1,003,664,278
2,001,513,193
2,002,271,265
2,003,656,277
3,001,512,194
3,002,275,264
3,003,648,277
4,001,508,195
4,002,287,263
4,003,634,277
5,001,506,195
5,002,290,262
5,003,626,276
6,001,504,195
6,002,294,260
6,003,617,276
7,001,502,195
7,002,297,258
7,003,608,275
8,001,498,195
8,002,300,258
8,003,599,273
9,001,494,195
9,002,305,257
9,003,591,274
10,001,490,194
10,002,308,255
10,003,583,275
11,001,484,194
11,002,312,254
11,003,564,272
12,001,480,194
12,002,316,253
12,003,556,272
12,004,336,249
13,001,476,195
13,002,320,252
13,003,549,272
13,004,341,248
14,001,470,195
14,002,324,251
14,003,531,271
14,004,351,245
14,005,524,278
14,006,744,356
15,001,466,195
15,002,325,250
15,004,355,244
15,005,516,276
15,006,738,353
16,001,462,195
16,002,327,250
16,004,358,243
16,005,509,276
16,006,734,350
17,001,458,195
17,002,330,248
17,004,362,242
17,005,502,276
17,006,732,348
18,001,454,195
18,004,368,240
18,005,485,275
18,006,725,346
19,004,370,239
19,005,478,274
19,006,718,344
20,004,372,238
20,005,472,274
20,006,711,341
20,007,744,330
21,004,376,236
21,005,458,273
21,006,705,327
21,007,732,323
22,004,377,235
22,005,452,273
22,006,699,325
22,007,725,322
23,004,379,235
23,005,446,271
23,006,694,324
23,007,720,321
24,004,380,234
24,005,441,270
24,006,684,318
24,007,709,317
25,004,381,233
25,005,438,269
25,006,680,316
25,007,703,314
26,004,381,232
26,005,435,269
26,006,677,315
26,007,697,312
26,008,711,311
27,004,381,231
27,005,434,268
27,007,692,311
27,008,706,310
28,004,381,230
28,005,432,267
28,007,686,310
28,008,701,309
29,004,381,229
29,005,429,266
29,007,674,306
29,008,690,303
30,004,380,228
30,005,428,265
30,007,668,302
30,008,684,301
31,004,381,227
31,005,427,264
31,007,662,299
31,008,678,298
32,004,381,226
32,005,427,263
32,007,653,297
32,008,667,297
33,004,382,226
33,005,427,262
33,007,648,295
33,008,661,295
34,004,382,226
34,005,427,261
34,007,643,293
34,008,654,293
35,004,382,225
35,005,427,260
35,007,638,290
35,008,649,291
36,004,382,224
36,005,427,259
36,007,633,288
36,008,644,290
37,004,380,223
37,005,428,259
37,007,624,287
37,008,635,288
38,004,380,222
38,005,430,258
38,007,618,285
38,008,628,285
39,004,379,221
39,005,430,257
39,007,611,282
39,008,622,282
39,009,403,218
40,004,379,220
40,005,431,256
40,007,599,278
40,008,610,278
40,009,404,217
41,004,379,220
41,005,431,255
41,007,594,278
41,008,604,277
41,009,404,216
42,004,379,220
42,005,430,253
42,007,588,276
42,008,598,276
42,009,404,215
43,004,379,220
43,010,379,220
43,007,592,275
43,011,379,220
43,009,404,215
44,012,379,219
44,013,379,219
44,007,600,272
44,011,379,219
44,014,379,219
44,015,570,274
45,016,451,218
45,017,451,218
45,007,597,271
45,011,393,214
45,015,564,274
46,018,449,217
46,017,449,217
46,007,592,270
46,011,392,213
46,015,558,273
47,019,449,216
47,017,449,216
47,007,587,268
47,011,391,212
47,015,551,270
48,020,447,216
48,017,447,216
48,007,579,263
48,011,389,211
48,015,538,265
49,021,446,215
49,017,446,215
49,007,575,263
49,011,388,211
49,015,532,263
50,022,445,215
50,017,445,215
50,007,570,262
50,011,388,211
50,015,528,262
51,023,443,215
51,017,443,215
51,007,560,259
51,011,385,218
51,015,520,258
52,024,442,215
52,017,442,215
52,007,554,257
52,011,385,218
52,015,517,256
53,025,441,215
53,017,441,215
53,007,550,255
53,011,386,218
53,015,514,255
54,026,440,215
54,017,440,215
54,007,546,254
54,011,385,218
54,015,511,254
55,027,439,213
55,017,439,213
55,007,539,251
55,011,384,218
55,015,502,253
56,028,438,213
